[2025-11-10 23:09:14] [INFO    ] discord.client: logging in using static token
[2025-11-10 23:09:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-10 23:09:14] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-10 23:09:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1437509702459195443', 'username': 'SOC BOT', 'avatar': '28c951f36e6fe1116dcb636c73aa49c8', 'discriminator': '0059', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-10 23:09:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-10 23:09:15] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-10 23:09:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1437509702459195443', 'name': 'SOC BOT', 'icon': '28c951f36e6fe1116dcb636c73aa49c8', 'description': '', 'type': None, 'bot': {'id': '1437509702459195443', 'username': 'SOC BOT', 'avatar': '28c951f36e6fe1116dcb636c73aa49c8', 'discriminator': '0059', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fd9d2142a1dde4574bff6162f1ef3fb436b86f62f3eb92e382ac29085d73e4d2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '647783236562583552', 'username': 'waithan', 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'tag': 'MꚘSE', 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'primary_guild': {'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'tag': 'MꚘSE', 'badge': '9552f734ce76e28ed73fe7568b528e07'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-c4s6",{"micros":0.0}]']}}
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'SOC BOT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1437509702459195443', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0059', 'clan': None, 'bot': True, 'avatar': '28c951f36e6fe1116dcb636c73aa49c8'}, 'session_type': 'normal', 'session_id': '1b6431ed7fc63bf47598fb4f67f597ad', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '709707367645708308'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'paris', 'frankfurt', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1437509702459195443', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-c4s6",{"micros":176831,"calls":["id_created",{"micros":346,"calls":[]},"session_lookup_time",{"micros":358,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-97",{"micros":175447,"calls":["start_session",{"micros":171081,"calls":["discord-api-rpc-6cc75c5dd7-rwmw8",{"micros":65131,"calls":["get_user",{"micros":7919},"get_guilds",{"micros":7595},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":19},"pending_payments",{"micros":48228},"apex_experiments",{"micros":9172},"user_activities",{"micros":9},"played_application_ids",{"micros":5},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":296,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":3916,"calls":[]},"connect_finished",{"micros":3960,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-11-10 23:09:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:09:15] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1b6431ed7fc63bf47598fb4f67f597ad).
[2025-11-10 23:09:15] [DEBUG   ] discord.client: Dispatching event connect
